"country,region,year,ind_malaria_inc,rain_mm,temp_c,ndvi,water_safe,gdp,health_exp,pop_density,urban_pct"
"Benin,Africa,2015,162.79,966.32,27.51,0.46,16.33,2725.34,2.73,100.75,4.38"
"Benin,Africa,2016,148.16,1085.37,27.71,0.48,16.48,2842.02,3.62,103.74,4.37"
"Benin,Africa,2017,173.05,1076.69,27.86,0.48,16.63,2885.89,3.67,106.77,4.34"
"Benin,Africa,2018,172.03,1195.70,27.48,0.50,16.78,2965.31,3.44,109.82,4.28"
"Benin,Africa,2019,245.39,1247.20,27.67,0.50,16.93,3148.98,3.00,112.87,4.22"
"Benin,Africa,2020,192.55,1151.17,27.71,0.49,17.08,3244.59,3.05,115.91,4.16"
"Benin,Africa,2021,196.38,1169.65,28.13,0.49,17.23,3464.29,2.92,118.96,4.10"
"Benin,Africa,2022,185.84,1208.18,27.47,0.49,17.39,3844.15,2.98,122.02,4.06"
"Benin,Africa,2023,144.38,1165.13,29.29,0.49,17.54,4129.97,3.34,125.14,4.05"
"Botswana,Africa,2015,0.20,237.37,23.14,0.31,68.72,14143.69,6.10,3.89,1.91"
"Botswana,Africa,2016,0.46,424.57,23.02,0.31,68.14,16228.12,5.77,3.94,1.85"
"Botswana,Africa,2017,1.26,573.93,21.62,0.38,67.55,15700.67,6.63,4.00,1.80"
"Botswana,Africa,2018,0.36,362.75,22.64,0.32,66.96,15785.82,6.04,4.06,1.74"
"Botswana,Africa,2019,0.11,255.07,23.51,0.30,66.36,15960.02,6.12,4.11,1.68"
"Botswana,Africa,2020,0.56,479.32,21.99,0.34,65.76,15292.26,6.12,4.17,1.62"
"Botswana,Africa,2021,0.44,619.54,21.37,0.39,65.15,17960.63,6.30,4.24,1.60"
"Botswana,Africa,2022,0.25,401.02,21.65,0.39,64.54,19976.83,5.74,4.31,1.69"
"Botswana,Africa,2023,0.34,212.99,24.33,0.34,63.92,21012.10,6.26,4.38,2.29"
"Central African Republic,Africa,2015,133.28,1353.86,26.58,0.67,6.70,768.87,5.03,7.43,1.04"
"Central African Republic,Africa,2016,273.12,1405.98,26.81,0.66,6.59,826.01,5.44,7.57,2.80"
"Central African Republic,Africa,2017,89.62,1455.43,26.76,0.67,6.49,883.81,6.67,7.69,2.75"
"Central African Republic,Africa,2018,208.32,1406.02,26.54,0.67,6.39,905.82,10.99,7.83,2.90"
"Central African Republic,Africa,2019,509.35,1485.68,26.80,0.67,6.28,984.84,7.76,7.94,2.54"
"Central African Republic,Africa,2020,346.35,1289.92,26.91,0.67,6.18,1066.29,8.98,8.07,2.89"
"Central African Republic,Africa,2021,391.65,1449.73,27.03,0.67,6.08,1128.55,9.15,8.21,2.98"
"Central African Republic,Africa,2022,440.81,1401.61,26.74,0.66,6.13,1217.85,9.95,8.18,0.70"
"Central African Republic,Africa,2023,357.33,1534.13,29.09,0.70,6.17,1257.09,10.66,8.27,2.03"
"Chad,Africa,2015,56.39,300.99,27.10,0.21,5.96,2377.51,3.40,11.63,4.38"
"Chad,Africa,2016,89.90,304.99,27.49,0.21,5.99,2120.09,3.71,12.00,4.49"
"Chad,Africa,2017,132.13,333.86,27.26,0.21,6.03,2097.14,3.51,12.41,4.81"
"Chad,Africa,2018,89.15,328.00,27.46,0.21,6.07,2227.81,3.29,12.83,5.00"
"Chad,Africa,2019,103.51,383.30,27.30,0.22,6.11,2351.65,3.38,13.25,4.98"
"Chad,Africa,2020,90.64,364.72,27.20,0.22,6.16,2185.99,4.35,13.68,5.06"
"Chad,Africa,2021,80.45,323.09,27.55,0.22,6.20,2435.07,3.97,14.16,5.43"
"Chad,Africa,2022,91.55,407.98,26.78,0.22,6.25,2624.12,4.16,14.66,5.54"
"Chad,Africa,2023,112.99,340.02,25.50,0.22,6.29,2700.36,5.00,15.34,6.75"
"Congo,Africa,2015,10.61,1451.20,24.98,0.64,44.07,4715.13,2.46,14.93,2.62"
"Congo,Africa,2016,34.50,1652.89,25.34,0.63,44.61,4016.05,2.59,15.29,2.61"
"Congo,Africa,2017,25.03,1737.67,24.98,0.65,45.14,4444.64,2.36,15.67,2.59"
"Congo,Africa,2018,22.29,1655.30,25.00,0.64,45.33,5593.19,1.76,16.06,2.58"
"Congo,Africa,2019,21.90,1678.98,25.19,0.65,45.51,5719.60,2.35,16.45,2.52"
"Congo,Africa,2020,15.91,1640.67,25.18,0.64,45.69,4770.96,4.02,16.85,2.49"
"Congo,Africa,2021,32.18,1682.60,25.13,0.65,45.87,6263.21,3.46,17.25,2.46"
"Congo,Africa,2022,60.39,1702.34,24.96,0.63,0.00,6647.50,2.30,17.67,2.43"
"Congo,Africa,2023,83.77,1800.58,25.55,0.67,0.00,6850.28,3.30,18.11,2.45"
"Côte d'Ivoire,Africa,2015,145.35,1139.68,26.25,0.54,35.34,4403.64,3.22,79.39,3.81"
"Côte d'Ivoire,Africa,2016,157.60,1233.76,26.63,0.55,36.51,4530.65,3.32,81.73,3.83"
"Côte d'Ivoire,Africa,2017,165.11,1292.53,26.53,0.56,37.68,4690.18,3.25,84.07,3.75"
"Côte d'Ivoire,Africa,2018,190.13,1428.08,26.21,0.57,38.23,4945.63,3.09,86.37,3.63"
"Côte d'Ivoire,Africa,2019,230.79,1366.31,26.47,0.57,38.44,5516.39,3.19,88.66,3.56"
"Côte d'Ivoire,Africa,2020,172.25,1293.96,26.64,0.57,38.67,5543.85,3.62,90.93,3.47"
"Côte d'Ivoire,Africa,2021,246.12,1433.60,26.69,0.59,38.91,6045.20,3.76,93.21,3.40"
"Côte d'Ivoire,Africa,2022,267.99,1390.09,26.34,0.56,37.74,6719.44,3.64,95.58,3.53"
"Côte d'Ivoire,Africa,2023,269.16,1381.64,28.15,0.57,36.25,7237.18,3.43,98.01,3.55"
"Democratic Republic of the Congo,Africa,2015,164.46,1528.23,24.60,0.70,11.67,910.39,3.75,35.74,4.24"
"Democratic Republic of the Congo,Africa,2016,213.50,1551.49,24.92,0.70,11.59,950.02,4.20,37.03,4.47"
"Democratic Republic of the Congo,Africa,2017,206.31,1633.99,24.62,0.71,11.50,990.55,4.00,38.41,4.57"
"Democratic Republic of the Congo,Africa,2018,201.89,1691.29,24.43,0.71,11.40,1048.87,3.24,39.72,4.25"
"Democratic Republic of the Congo,Africa,2019,252.72,1644.72,24.68,0.71,11.30,1056.17,3.51,41.00,4.06"
"Democratic Republic of the Congo,Africa,2020,235.34,1524.55,24.77,0.71,11.19,1088.79,3.98,42.34,4.10"
"Democratic Republic of the Congo,Africa,2021,215.28,1570.37,24.81,0.72,11.38,1402.39,3.87,43.73,4.10"
"Democratic Republic of the Congo,Africa,2022,266.57,1604.72,24.57,0.70,11.58,1590.16,3.94,45.17,4.08"
"Democratic Republic of the Congo,Africa,2023,261.44,1616.11,24.79,0.72,11.73,1730.62,3.68,46.66,4.10"
"Ethiopia,Africa,2015,27.23,748.57,23.55,0.39,9.69,1632.62,3.82,92.04,4.90"
"Ethiopia,Africa,2016,24.39,810.90,23.63,0.39,10.13,1857.55,3.60,94.56,4.87"
"Ethiopia,Africa,2017,21.16,831.36,23.49,0.38,10.58,2004.75,3.45,97.17,4.88"
"Ethiopia,Africa,2018,12.95,869.59,23.06,0.40,11.05,2095.32,3.30,99.83,5.01"
"Ethiopia,Africa,2019,11.87,977.76,23.43,0.40,11.53,2242.44,3.24,102.55,4.90"
"Ethiopia,Africa,2020,21.56,891.01,23.31,0.42,12.02,2406.79,3.48,105.37,4.47"
"Ethiopia,Africa,2021,16.81,800.02,23.48,0.39,12.53,2588.41,3.21,108.23,4.87"
"Ethiopia,Africa,2022,20.30,759.58,23.58,0.37,12.87,2844.92,2.85,111.11,5.43"
"Ethiopia,Africa,2023,36.54,990.47,23.69,0.43,13.21,3060.91,2.80,114.04,4.01"
"Gambia,Africa,2015,118.10,903.13,27.67,0.42,39.52,1990.32,3.18,219.82,3.81"
"Gambia,Africa,2016,75.72,800.16,28.23,0.43,40.70,2012.68,3.20,225.67,3.67"
"Gambia,Africa,2017,35.25,832.43,28.34,0.42,41.88,2038.95,3.35,231.44,3.53"
"Gambia,Africa,2018,38.35,731.05,27.73,0.40,43.07,2277.44,3.19,237.12,3.40"
"Gambia,Africa,2019,22.74,722.21,27.90,0.42,44.28,2421.72,3.15,242.77,3.30"
"Gambia,Africa,2020,30.13,1011.50,28.27,0.42,45.49,2530.80,4.01,248.59,3.28"
"Gambia,Africa,2021,28.64,794.62,28.18,0.43,46.68,2777.80,3.74,254.55,3.25"
"Gambia,Africa,2022,45.18,929.38,27.64,0.44,47.25,3067.31,3.54,260.52,3.16"
"Gambia,Africa,2023,43.85,810.99,28.02,0.44,47.72,3289.13,2.89,266.59,3.11"
"Ghana,Africa,2015,203.13,1005.75,27.27,0.49,30.83,5191.37,4.54,126.11,3.35"
"Ghana,Africa,2016,190.61,1163.51,27.54,0.48,32.11,5011.08,3.39,129.02,3.29"
